Time,Temp
2022-01-01,-27
2022-01-02,-13.7
2022-01-03,-22
2022-01-04,-27.3
2022-01-05,-33.2
2022-01-06,-29.1
2022-01-07,-26.5
2022-01-08,-27.7
2022-01-09,-23.2
2022-01-10,-12
2022-01-11,0
2022-01-12,-1.8
2022-01-13,-3.5
2022-01-14,-4.7
2022-01-15,-2.4
2022-01-16,-2.4
2022-01-17,-6.6
2022-01-18,-22.6
2022-01-19,-29.4
2022-01-20,-11
2022-01-21,-4.2
2022-01-22,-3.4
2022-01-23,-1.2
2022-01-24,-13.8
2022-01-25,-10.9
2022-01-26,1.3
2022-01-27,-3.4
2022-01-28,-4.4
2022-01-29,1
2022-01-30,-0.2
2022-01-31,-12.1
2022-02-01,-23.2
2022-02-02,-28.5
2022-02-03,-24.9
2022-02-04,-19
2022-02-05,-7.1
2022-02-06,2.1
2022-02-07,2.6
2022-02-08,1
2022-02-09,1.7
2022-02-10,1.9
2022-02-11,-8.4
2022-02-12,-6.6
2022-02-13,-3.4
2022-02-14,-10
2022-02-15,-10.3
2022-02-16,-18.9
2022-02-17,-11.6
2022-02-18,-11.8
2022-02-19,-5.3
2022-02-20,-18.7
2022-02-21,-22.5
2022-02-22,-24.6
2022-02-23,-23.4
2022-02-24,-15.8
2022-02-25,-10.2
2022-02-26,-5.6
2022-02-27,-8.3
2022-02-28,-7.4
2022-03-01,-6.8
2022-03-02,-9.7
2022-03-03,-11.3
2022-03-04,-11.5
2022-03-05,-11.5
2022-03-06,-7.8
2022-03-07,-4.4
2022-03-08,-11.7
2022-03-09,-17.6
2022-03-10,-16.6
2022-03-11,-19.3
2022-03-12,-2.7
2022-03-13,-5.7
2022-03-14,-4.9
2022-03-15,-1.2
2022-03-16,1.4
2022-03-17,1.2
2022-03-18,1.6
2022-03-19,0.3
2022-03-20,1.4
2022-03-21,1.5
2022-03-22,5.3
2022-03-23,8.1
2022-03-24,2.3
2022-03-25,-2.7
2022-03-26,-4.8
2022-03-27,1.1
2022-03-28,0.3
2022-03-29,1
2022-03-30,5.8
2022-03-31,3.2
2022-04-01,1.7
2022-04-02,2
2022-04-03,3.6
2022-04-04,5.8
2022-04-05,1.7
2022-04-06,4.9
2022-04-07,4.4
2022-04-08,11
2022-04-09,4.5
2022-04-10,-1.5
2022-04-11,-5.2
2022-04-12,-8.7
2022-04-13,-8.1
2022-04-14,-6
2022-04-15,-4.3
2022-04-16,-3
2022-04-17,-2
2022-04-18,-1
2022-04-19,0.5
2022-04-20,0.5
2022-04-21,-0.7
2022-04-22,1.8
2022-04-23,5
2022-04-24,6.2
2022-04-25,7.9
2022-04-26,6.9
2022-04-27,5.7
2022-04-28,7.5
2022-04-29,6.8
2022-04-30,6.6
2022-05-01,9.5
2022-05-02,10.2
2022-05-03,6.7
2022-05-04,13.2
2022-05-05,15.1
2022-05-06,11.7
2022-05-07,9.9
2022-05-08,8.1
2022-05-09,6.3
2022-05-10,4.7
2022-05-11,8
2022-05-12,10.1
2022-05-13,11.5
2022-05-14,10.2
2022-05-15,11
2022-05-16,12.6
2022-05-17,7.9
2022-05-18,9.1
2022-05-19,7.6
2022-05-20,6
2022-05-21,7.3
